date,spectral_radius,spectral_gap,mean_correlation,modularity,avg_clustering,avg_degree,regime,sr_exceed_q90,mc_red,mod_breakdown,any_warning
2025-07-01,62.111398809820244,58.42887692887099,0.6161439053261434,0.026231227172241384,0.9243162755279649,82.42424242424242,unknown,False,False,False,False
2025-07-02,62.068977794897464,58.415071871174334,0.6155630668332127,0.02553710823815941,0.9230611787106499,82.36363636363636,unknown,False,False,False,False
2025-07-03,56.11123015194241,51.98422611542746,0.5504298583203311,0.04046440613873967,0.8497505943658582,67.53535353535354,unknown,False,False,False,False
2025-07-04,51.24383890412321,46.568513735572274,0.5026528667856682,0.08803133812966157,0.7523611505943386,52.666666666666664,unknown,False,False,False,False
2025-07-07,43.53701770786647,38.129840047531665,0.42305885852302866,0.17021882397794935,0.6340760543377392,28.96969696969697,unknown,False,False,False,False
2025-07-08,34.32278245062241,28.055638627771035,0.32537444856843,0.29546027631825855,0.4335027431326471,11.797979797979798,unknown,False,False,False,False
2025-07-09,34.503838716063335,29.804752780895587,0.3263816286848158,0.22770299373577663,0.40316394721996435,10.969696969696969,unknown,False,False,False,False
2025-07-10,34.29762352905467,29.598096481312595,0.32354446303259954,0.22297842606341164,0.3830085681417784,10.808080808080808,unknown,False,False,False,False
2025-07-11,32.56662734230515,27.760381995832944,0.30599666425856614,0.26282146573509735,0.33763666201782655,8.767676767676768,unknown,False,False,False,False
2025-07-14,30.599470462738715,25.51004869844131,0.28594267249014355,0.3189590363861138,0.2867838034191704,6.98989898989899,unknown,False,False,False,False
2025-07-15,30.831546149822444,25.703953206615893,0.2879466700793159,0.3233265306122449,0.29966400344005306,7.070707070707071,unknown,False,False,False,False
2025-07-16,31.01411080314371,25.78104339459413,0.2897337787036266,0.2990557429081531,0.30959671089636787,7.171717171717172,unknown,False,False,False,False
2025-07-17,59.69676987417258,47.213024469985555,0.48086898780296955,0.031945943630222115,0.7115421109912078,42.98989898989899,unknown,False,False,True,True
2025-07-18,62.24187833280958,50.472698393440126,0.49157253415532964,0.029430572070286702,0.7205318601151935,43.93939393939394,unknown,False,False,True,True
2025-07-21,62.30198750236907,51.653868490448005,0.4876418874975386,0.01797221112119954,0.700456305759336,43.676767676767675,unknown,False,False,True,True
2025-07-22,62.28690024573204,51.68801296128965,0.4872481912730301,0.01696072806231687,0.6929514509059963,43.5959595959596,unknown,False,False,True,True
2025-07-23,62.21688983961468,51.159569517597646,0.4884281504197162,0.01884871649832579,0.7182607936395815,43.676767676767675,unknown,False,False,True,True
2025-07-24,62.091469930397906,51.03125025915071,0.4872390257860915,0.020633818003510333,0.7389180811223822,43.676767676767675,unknown,False,False,True,True
2025-07-25,62.051412500395216,51.03841070402102,0.48640542080232324,0.020493173224986033,0.7308011980054991,43.656565656565654,unknown,False,False,True,True
2025-07-28,62.05961822338692,51.21764280030516,0.4857167268815985,0.017864965243450347,0.7203634875677887,43.5959595959596,unknown,False,False,True,True
2025-07-29,62.04736640058877,51.38565131660626,0.4848148271584321,0.015250825697090074,0.7100091739204643,43.515151515151516,unknown,False,False,True,True
2025-07-30,62.15201381655555,52.11004521742433,0.48344584161347137,0.013219825101619875,0.6783329797442701,43.45454545454545,unknown,False,False,False,False
2025-07-31,62.085813446759545,52.14330137108035,0.4822978213434567,0.012950064321583283,0.6935062945815634,43.41414141414141,unknown,False,False,False,False
2025-08-01,62.00064892051792,52.135908100709585,0.4812596609015811,0.014802019797263807,0.7221700292936852,43.45454545454545,unknown,False,False,False,False
2025-08-04,61.93746555426347,52.25523161274521,0.47995150901530365,0.012348227365921916,0.6983671346574573,43.37373737373738,unknown,False,False,True,True
2025-08-05,61.894159523325186,52.31288993697042,0.4791671319499754,0.013273576999697759,0.6961097469834029,43.37373737373738,unknown,False,False,True,True
2025-08-06,61.92923550827865,52.4637347376612,0.4789571065329506,0.01416562662906978,0.7167708759778652,43.37373737373738,unknown,False,False,False,False
2025-08-07,60.707182286698924,51.36443030965209,0.4695399712381881,0.025399376854768417,0.7145935462496766,42.323232323232325,unknown,False,False,False,False
2025-08-08,59.763400519236946,50.64256391071835,0.46261626715331716,0.03390712576428516,0.7535900045867259,42.36363636363637,unknown,False,False,False,False
