mean_ic,ic_std,ir,ic_t_stat,n_days,signal,horizon
0.0029269223346969626,0.1635995369245377,0.017890773957673498,0.2498310621137628,195,neighbor_lag,5d
0.06490800879139788,0.1620794241974447,0.4004703811899475,6.139094693800474,235,momentum_20d,5d
0.0012068674917017365,0.15711975485811336,0.007681195103643049,0.12241810563776262,254,reversal_1d,5d
