normal_cost_bps,stressed_cost_bps,illiquid_cost_bps,pct_in_normal,pct_in_stressed,pct_in_illiquid,avg_savings_per_day_bps,annualized_savings_bps,stock_id
234.20384668332082,520.9642779550392,109.69421463257295,70.53941908713693,19.91701244813278,9.54356846473029,45.2314488127605,11398.325100815646,2330
400.340126627603,661.2554875216749,325.3724977079307,64.31535269709543,19.502074688796682,16.182572614107883,38.752217569104396,9765.558827414308,2408
183.16924368479877,299.6178310343972,300.40510244207076,65.83333333333333,20.416666666666668,13.750000000000002,39.894850496334584,10053.502325076315,2317
272.27494114138483,609.8597871895051,192.98689479849435,69.70954356846472,19.08713692946058,11.20331950207469,55.55238865956635,13999.201942210719,2454
291.6134561748463,616.3977844663428,205.25831586496176,67.21991701244814,20.74688796680498,12.033195020746888,56.991358280448864,14361.822286673114,2308
365.93801952935735,522.0576232410009,354.2011316076917,65.14522821576763,20.74688796680498,14.107883817427386,30.734132764504338,7745.0014566550935,2344
465.5418634644727,996.4597379855327,250.03513492862672,68.46473029045643,20.33195020746888,11.20331950207469,83.80205054383441,21118.11673704627,3017
502.64465790951044,1037.5925721573299,333.1065075016294,68.87966804979253,21.16182572614108,9.95850622406639,96.3212780782143,24272.962075710006,3661
275.13914837380383,1241.7056146994846,347.80762894324073,70.53941908713693,20.74688796680498,8.71369294605809,206.86457015868137,52129.87167998771,3037
327.7278572127891,351.7244314003392,199.42803539150165,69.09871244635193,19.742489270386265,11.158798283261802,-9.57919723058442,-2413.9577021072737,2327
256.8197412668533,317.2592362360465,160.3902128663196,67.08333333333333,22.083333333333332,10.833333333333334,2.900522895639,730.931769701028,6669
299.08730005556896,424.5459115713089,267.52043903461987,71.25,19.583333333333332,9.166666666666666,21.675349161578744,5462.187988717844,6770
283.0297366384058,477.5569849201344,229.37512256604228,64.73029045643153,20.33195020746888,14.937759336099585,31.536386137757752,7947.169306714954,2313
105.06645998868119,500.9583105385715,105.06878360915154,72.38095238095238,19.523809523809526,8.095238095238095,77.29335892425475,19477.926448912196,0050
433.79238091333536,805.8139931736644,332.4755172401362,67.21991701244814,21.57676348547718,11.20331950207469,68.91937144548021,17367.68160426101,2383
373.7935957980163,641.4137936579367,308.09575722370425,71.78423236514523,20.33195020746888,7.883817427385892,49.23290772707124,12406.692747221954,2337
265.5479355620772,581.343841510139,181.1312514712942,73.02904564315352,19.08713692946058,7.883817427385892,53.62113973396665,13512.527212959596,3231
293.60975696864193,411.7889674643837,293.23139883737423,66.11570247933885,21.90082644628099,11.983471074380166,25.83688334903946,6510.894603957944,8299
238.91814180798895,484.9999098060339,142.2113739024456,66.80497925311202,20.74688796680498,12.448132780082988,39.016121837078614,9832.062702943811,2382
398.7070204786911,713.5935928897413,297.6221264417183,73.44398340248964,20.33195020746888,6.224066390041494,57.73099019745589,14548.209529758884,2345
