,sharpe,mean_ann,vol_ann,mdd,win_rate,n_days
momentum,0.6279448568117181,0.9039514920514129,1.4395396064569603,-0.9865925015653865,0.4653846153846154,260.0
equal_weight (peer),0.795615448294862,0.680099760729808,0.8548096472829638,-0.5593385413094938,0.6615384615384615,260.0
market (median),-0.22821325316705457,-0.10855772413494286,0.47568545046539185,-0.3432453752260354,0.5,260.0
