date,hyg_shy_ratio,indicator_value,signal,spy_close,trend5d
2008-01-09,0.5059100385874469,0.9894179894179894,RED,100.2392578125,0.0
2008-01-10,0.5096666635870619,0.9841269841269842,RED,100.89628601074219,0.0
2008-01-11,0.5093447017279727,0.9841269841269842,RED,100.08216857910156,0.0
2008-01-14,0.507391468042459,0.9841269841269842,RED,100.88911437988281,0.0
2008-01-15,0.508262433541222,0.9788359788359788,RED,98.66826629638672,-0.010582010582010581
2008-01-16,0.5072633449616729,0.9841269841269842,RED,97.81846618652344,-0.005291005291005235
2008-01-17,0.5028328002576435,0.9947089947089947,RED,95.28337097167969,0.01058201058201047
2008-01-18,0.506345791787473,0.9788359788359788,RED,94.3050537109375,-0.005291005291005346
2008-01-22,0.5007185303319468,0.9947089947089947,RED,93.34815216064453,0.01058201058201047
2008-01-23,0.5019380628812821,0.9894179894179894,RED,95.5904312133789,0.010582010582010581
2008-01-24,0.5098201099260337,0.9365079365079365,RED,96.39742279052734,-0.04761904761904767
2008-01-25,0.5092512723379022,0.9470899470899471,RED,95.00486755371094,-0.04761904761904756
2008-01-28,0.507171646930459,0.962962962962963,RED,96.57589721679688,-0.015873015873015817
2008-01-29,0.507991717453898,0.9470899470899471,RED,97.05438232421875,-0.04761904761904756
2008-01-30,0.5095890759210393,0.9259259259259259,RED,96.34027099609375,-0.06349206349206349
2008-01-31,0.5101332604079336,0.91005291005291,RED,98.09695434570312,-0.02645502645502651
2008-02-01,0.5098568226123585,0.91005291005291,RED,99.67515563964844,-0.03703703703703709
2008-02-04,0.509899654488003,0.9047619047619048,RED,98.41831970214844,-0.05820105820105825
2008-02-05,0.5046518134928872,0.9788359788359788,RED,95.78327178955078,0.031746031746031744
2008-02-06,0.5034362042753819,0.9788359788359788,RED,95.01202392578125,0.05291005291005291
2008-02-07,0.5019743700360147,0.9841269841269842,RED,95.64043426513672,0.07407407407407418
2008-02-08,0.49729950259979844,0.9947089947089947,RED,95.02630615234375,0.08465608465608465
2008-02-11,0.49319265781968513,0.9947089947089947,RED,95.51190185546875,0.08994708994708989
2008-02-12,0.4948760908134691,0.9894179894179894,RED,96.39742279052734,0.010582010582010581
2008-02-13,0.49340722914921875,0.9894179894179894,RED,97.38285827636719,0.010582010582010581
2008-02-14,0.49619069154313156,0.9788359788359788,RED,96.52594757080078,-0.005291005291005346
2008-02-15,0.495483015237909,0.9788359788359788,RED,96.50450897216797,-0.015873015873015817
2008-02-19,0.49330105245360556,0.9894179894179894,RED,96.77586364746094,-0.005291005291005235
2008-02-20,0.4951889710913856,0.9735449735449735,RED,97.06147766113281,-0.015873015873015928
2008-02-21,0.4955336962267049,0.962962962962963,RED,96.25453186035156,-0.026455026455026398
2008-02-22,0.49694754945936853,0.9523809523809523,RED,96.8472671508789,-0.02645502645502651
2008-02-25,0.49922466448484876,0.9417989417989419,RED,98.06841278076172,-0.03703703703703698
2008-02-26,0.5017183414655232,0.9312169312169312,RED,98.80392456054688,-0.05820105820105825
2008-02-27,0.5010147823940424,0.9312169312169312,RED,98.70394897460938,-0.042328042328042326
2008-02-28,0.4990987899358464,0.9417989417989419,RED,97.7398681640625,-0.021164021164021163
2008-02-29,0.49547727924201745,0.9682539682539683,RED,95.56190490722656,0.015873015873015928
2008-03-03,0.4955942363172152,0.9523809523809523,RED,95.33338165283203,0.01058201058201047
2008-03-04,0.4951425676884037,0.9735449735449735,RED,94.96916961669922,0.042328042328042326
2008-03-05,0.4968359928967834,0.9365079365079365,RED,95.56903076171875,0.005291005291005346
2008-03-06,0.4940704541331356,0.9788359788359788,RED,93.59095001220703,0.03703703703703698
2008-03-07,0.4932716207154065,0.9894179894179894,RED,92.62687683105469,0.021164021164021163
2008-03-10,0.49160986918192745,0.9947089947089947,RED,91.40575408935547,0.042328042328042326
2008-03-11,0.4953174135989008,0.9470899470899471,RED,94.690673828125,-0.026455026455026398
2008-03-12,0.49362397409588726,0.9682539682539683,RED,93.80519104003906,0.031746031746031744
2008-03-13,0.49039398759069625,0.9947089947089947,RED,94.01228332519531,0.015873015873015817
2008-03-14,0.4860010660762417,0.9947089947089947,RED,92.55548095703125,0.005291005291005235
2008-03-17,0.48264525409156495,0.9947089947089947,RED,91.62003326416016,0.0
2008-03-18,0.49148888355268194,0.9788359788359788,RED,95.42621612548828,0.031746031746031744
2008-03-19,0.49147889955136825,0.9788359788359788,RED,93.06255340576172,0.010582010582010581
2008-03-20,0.4943864648291436,0.9312169312169312,RED,94.78630065917969,-0.06349206349206349
2008-03-24,0.5002358442265799,0.8518518518518519,RED,96.68087768554688,-0.1428571428571428
2008-03-25,0.5011728533572003,0.835978835978836,RED,96.77413940429688,-0.1587301587301586
2008-03-26,0.49891131044416703,0.8624338624338624,RED,95.59004974365234,-0.1164021164021164
2008-03-27,0.49677698446238316,0.8783068783068784,RED,95.28862762451172,-0.10052910052910047
2008-03-28,0.49679881826208505,0.873015873015873,RED,94.377197265625,-0.05820105820105814
2008-03-31,0.4989004710256933,0.8518518518518519,RED,94.70731353759766,0.0
2008-04-01,0.5029108341957267,0.7883597883597884,RED,98.0372085571289,-0.04761904761904767
2008-04-02,0.5035921905890749,0.7777777777777778,RED,98.10179901123047,-0.08465608465608465
2008-04-03,0.5030668615035457,0.783068783068783,RED,98.34583282470703,-0.09523809523809534
2008-04-04,0.5040941238509193,0.7671957671957672,RED,98.23817443847656,-0.10582010582010581
2008-04-07,0.5090805973400948,0.7142857142857143,RED,98.28839111328125,-0.13756613756613756
2008-04-08,0.5104986829070075,0.6666666666666667,RED,98.18789672851562,-0.12169312169312163
2008-04-09,0.505096569904107,0.7566137566137566,RED,97.47742462158203,-0.021164021164021163
2008-04-10,0.5071008554492431,0.7354497354497355,RED,97.61380004882812,-0.04761904761904756
2008-04-11,0.5021967352450012,0.7936507936507937,RED,95.71923065185547,0.02645502645502651
2008-04-14,0.5042667236768276,0.7566137566137566,RED,95.39629364013672,0.042328042328042326
2008-04-15,0.5048765484985025,0.746031746031746,RED,95.61875915527344,0.0793650793650793
2008-04-16,0.5081580266937195,0.6931216931216931,RED,98.20944213867188,-0.06349206349206349
2008-04-17,0.5095948332628963,0.6613756613756614,RED,98.35297393798828,-0.07407407407407407
2008-04-18,0.5133570544790744,0.5925925925925926,RED,99.37922668457031,-0.20105820105820116
2008-04-21,0.513010338696759,0.5978835978835979,RED,99.42943572998047,-0.15873015873015872
2008-04-22,0.5135067424397302,0.5820105820105821,RED,98.99166870117188,-0.16402116402116396
2008-04-23,0.5156026774356648,0.544973544973545,RED,98.83377075195312,-0.14814814814814814
2008-04-24,0.5171873197431187,0.5343915343915344,RED,99.26437377929688,-0.12698412698412698
2008-04-25,0.5195943261407389,0.5026455026455027,RED,100.18295288085938,-0.08994708994708989
2008-04-28,0.5220758019801932,0.47089947089947093,RED,100.2044906616211,-0.12698412698412698
2008-04-29,0.5206790608564272,0.4973544973544973,RED,99.80976104736328,-0.08465608465608476
2008-04-30,0.5202039242063063,0.5079365079365079,RED,99.22130584716797,-0.03703703703703709
2008-05-01,0.5322058024169083,0.328042328042328,RED,101.27376556396484,-0.2063492063492064
2008-05-02,0.5275202925664878,0.4285714285714286,YELLOW,101.55363464355469,-0.07407407407407407
2008-05-05,0.5261033888697523,0.4444444444444444,RED,101.065673828125,-0.02645502645502651
2008-05-06,0.5220405278448808,0.4920634920634921,RED,101.9411849975586,-0.005291005291005235
2008-05-07,0.5217816423170528,0.4973544973544973,RED,100.12554931640625,-0.010582010582010581
2008-05-08,0.5202375710381788,0.5291005291005291,RED,99.86720275878906,0.20105820105820105
2008-05-09,0.5211552746612736,0.5026455026455027,RED,99.68058013916016,0.07407407407407407
2008-05-12,0.5214726514336809,0.4973544973544973,RED,100.80014038085938,0.05291005291005291
2008-05-13,0.5221934207106411,0.47619047619047616,RED,100.81444549560547,-0.015873015873015928
2008-05-14,0.5218314228658144,0.4920634920634921,RED,101.02261352539062,-0.005291005291005235
2008-05-15,0.5227649894080773,0.47619047619047616,RED,102.2856674194336,-0.05291005291005291
2008-05-16,0.5233783009624182,0.47089947089947093,RED,102.37895202636719,-0.031746031746031744
2008-05-19,0.524869628609782,0.4656084656084656,RED,102.6588363647461,-0.031746031746031744
2008-05-20,0.5231114847103967,0.4814814814814815,RED,101.82636260986328,0.005291005291005346
2008-05-21,0.5227288699421625,0.4920634920634921,RED,100.10398864746094,0.0
2008-05-22,0.5233857848138274,0.47089947089947093,RED,100.11840057373047,-0.005291005291005235
2008-05-23,0.519263064086993,0.5661375661375662,RED,98.7763442993164,0.09523809523809523
2008-05-27,0.5169210067232849,0.5873015873015873,RED,99.50838470458984,0.12169312169312174
2008-05-28,0.5203980947475196,0.5396825396825398,RED,99.96766662597656,0.05820105820105825
2008-05-29,0.5200562651464864,0.5502645502645502,RED,100.4699935913086,0.05820105820105814
2008-05-30,0.5193565173748876,0.5555555555555556,RED,100.72116088867188,0.08465608465608465
2008-06-02,0.5140537293622184,0.6084656084656085,RED,99.68058013916016,0.042328042328042326
2008-06-03,0.5136818725475172,0.6084656084656085,RED,99.09931945800781,0.021164021164021163
2008-06-04,0.5133366941232281,0.6190476190476191,RED,99.04910278320312,0.0793650793650793
2008-06-05,0.5162497846604366,0.5714285714285714,RED,101.0297622680664,0.021164021164021163
2008-06-06,0.5141325461562634,0.5925925925925926,RED,97.80757904052734,0.03703703703703698
2008-06-09,0.5184027400719858,0.544973544973545,RED,98.04440307617188,-0.06349206349206349
2008-06-10,0.519812833603659,0.5132275132275133,RED,97.55638885498047,-0.09523809523809523
2008-06-11,0.518824116613158,0.5396825396825398,RED,96.12110900878906,-0.0793650793650793
2008-06-12,0.5204944912456448,0.4814814814814815,RED,96.4870834350586,-0.08994708994708989
2008-06-13,0.5222275834451832,0.42328042328042326,RED,97.70706939697266,-0.1693121693121693
2008-06-16,0.5146828656355195,0.5873015873015873,RED,97.76444244384766,0.042328042328042326
2008-06-17,0.5145915908534491,0.5873015873015873,RED,97.2908935546875,0.07407407407407407
2008-06-18,0.5152133090243901,0.5608465608465609,RED,96.34353637695312,0.021164021164021163
2008-06-19,0.5129534242668872,0.6243386243386244,RED,96.46558380126953,0.1428571428571429
2008-06-20,0.5099911143574687,0.6402116402116402,RED,94.8997802734375,0.21693121693121697
2008-06-23,0.5086779670295664,0.6878306878306879,RED,94.80597686767578,0.10052910052910058
2008-06-24,0.5056193014376168,0.7354497354497355,RED,94.6185073852539,0.14814814814814814
2008-06-25,0.5069576466984697,0.7195767195767195,RED,95.06566619873047,0.1587301587301586
2008-06-26,0.5015027600835323,0.8095238095238095,RED,92.4836196899414,0.18518518518518512
2008-06-27,0.4998791327709505,0.8306878306878307,RED,91.9787826538086,0.19047619047619047
2008-06-30,0.49904663552358897,0.8412698412698413,RED,92.3033447265625,0.15343915343915338
2008-07-01,0.4986439977981927,0.8518518518518519,RED,92.59182739257812,0.1164021164021164
2008-07-02,0.4982092442880372,0.8518518518518519,RED,91.00511932373047,0.13227513227513232
2008-07-03,0.4971537863263077,0.8571428571428572,RED,91.09886932373047,0.04761904761904767
2008-07-07,0.49728067014133903,0.8518518518518519,RED,90.16848754882812,0.021164021164021163
2008-07-08,0.49588700885643483,0.8835978835978836,RED,91.76962280273438,0.042328042328042326
2008-07-09,0.4933464958824309,0.9470899470899471,RED,90.00259399414062,0.09523809523809523
2008-07-10,0.49458138989664535,0.9206349206349207,RED,90.37045288085938,0.06878306878306883
2008-07-11,0.49495691536858366,0.91005291005291,RED,89.31743621826172,0.052910052910052796
2008-07-14,0.4926492913272319,0.962962962962963,RED,88.50965118408203,0.11111111111111116
2008-07-15,0.4843270225497472,0.9894179894179894,RED,87.26191711425781,0.10582010582010581
2008-07-16,0.48639219853861726,0.9788359788359788,RED,89.40396118164062,0.031746031746031744
2008-07-17,0.4885371078188145,0.9735449735449735,RED,90.29832458496094,0.052910052910052796
2008-07-18,0.4972807793535492,0.8042328042328042,RED,90.86087036132812,-0.10582010582010581
2008-07-21,0.49949736264758776,0.7566137566137566,RED,90.911376953125,-0.2063492063492064
2008-07-22,0.5016313042371778,0.7195767195767195,RED,91.9427261352539,-0.2698412698412699
2008-07-23,0.5005367122344151,0.7407407407407407,RED,92.44039154052734,-0.23809523809523814
2008-07-24,0.5003210791068416,0.7407407407407407,RED,90.52188873291016,-0.2328042328042328
2008-07-25,0.502054520515244,0.6878306878306879,RED,90.50025177001953,-0.11640211640211628
2008-07-28,0.49931866284572324,0.7566137566137566,RED,89.1731948852539,0.0
2008-07-29,0.49984807332073616,0.746031746031746,RED,91.0772476196289,0.02645502645502651
2008-07-30,0.499833484224061,0.746031746031746,RED,92.70002746582031,0.005291005291005346
2008-07-31,0.4998220397848812,0.746031746031746,RED,91.4738998413086,0.005291005291005346
2008-08-01,0.4974901247988553,0.7936507936507937,RED,90.99068450927734,0.10582010582010581
2008-08-04,0.4941197323798655,0.9047619047619048,RED,90.14683532714844,0.14814814814814814
2008-08-05,0.497844825240658,0.783068783068783,RED,92.5774154663086,0.03703703703703698
2008-08-06,0.4944599271580944,0.8941798941798942,RED,92.98851776123047,0.14814814814814814
2008-08-07,0.4927975017955573,0.9417989417989419,RED,91.6037368774414,0.1957671957671958
