Date,open,high,low,close,volume
1995-01-03,26.46669778400721,26.548133777188767,26.45764934032037,26.511940002441406,324300
1995-01-04,26.629585279070813,26.638633728027344,26.493858544722848,26.638633728027344,351800
1995-01-05,26.656730625940405,26.70197287072306,26.61148838115775,26.638633728027344,89800
1995-01-06,26.69291682351756,26.783401287326093,26.58433546694732,26.665771484375,448400
1995-01-09,26.656734513104976,26.692928314208988,26.63863761255297,26.692928314208984,36800
1995-01-10,26.756263681238,26.864845069190267,26.72006988525391,26.720069885253903,229800
1995-01-11,26.81055440112016,26.81055440112016,26.530052481972422,26.73816680908203,222400
1995-01-12,26.71101195112133,26.76530262581873,26.656721276423927,26.74720573425293,40300
1995-01-13,26.89198711348074,27.063907623291016,26.85579332194174,27.063907623291016,170600
1995-01-16,27.054846159205084,27.23581502983522,27.054846159205084,27.22676658630371,105100
1995-01-17,27.172489263845044,27.25392529560482,27.136295471951808,27.235828399658203,89500
1995-01-18,27.21772192196073,27.26296414590017,27.145334363657653,27.20867347717285,84500
1995-01-19,27.118198296537365,27.145343640177543,27.03676226561684,27.05485916137696,139100
1995-01-20,27.01867286244188,27.027721312831176,26.901043007381013,26.9553337097168,78700
1995-01-23,26.774359138136408,27.03676414489746,26.756262241118403,27.03676414489746,53700
1995-01-24,27.02772146240275,27.07296371459961,27.009624561524006,27.07296371459961,32400
1995-01-25,26.93721622912089,27.244863307317097,26.93721622912089,27.14533042907715,15700
1995-01-26,27.12725073490149,27.20868677780146,27.072960039634843,27.17249298095703,9800
1995-01-27,27.35345255597116,27.35345255597116,27.1724836339998,27.281064987182617,91200
1995-01-30,27.22677028091807,27.24486717043679,27.127237388565096,27.16343116760254,26600
1995-01-31,27.217714427398704,27.31724729265847,27.17247221591699,27.27200508117676,127500
1995-02-01,27.30821793585017,27.40775087067268,27.21773344964788,27.262975692749023,380200
1995-02-02,27.25393316809473,27.425853729248043,27.25393316809473,27.425853729248047,131700
1995-02-03,27.59775017171846,27.860155009416765,27.5525079583222,27.814912796020508,405100
1995-02-06,27.805870298355345,28.01398452447385,27.7787249645138,27.93254852294922,405400
1995-02-07,27.9777965391388,27.9777965391388,27.87826362777705,27.968748092651367,702900
1995-02-08,27.93255430670164,28.06828100401312,27.914457413726776,27.968748092651367,521500
1995-02-09,27.92350586021421,27.968748092651367,27.86921518128962,27.968748092651367,390700
1995-02-10,27.932550563411684,28.004938125610355,27.85111455593818,28.00493812561035,148300
1995-02-13,27.986848873685496,28.068284903385845,27.986848873685496,28.013994216918945,79700
1995-02-14,28.10448448427261,28.10448448427261,27.94161239131805,28.050193786621094,170200
1995-02-15,28.050186406889136,28.24020379867774,28.02304106520505,28.204010009765625,431500
1995-02-16,28.167814254760746,28.194959594550102,28.08637823539265,28.167814254760746,99300
1995-02-17,28.140670643510912,28.15876753781542,28.05018617198837,28.059234619140625,49100
1995-02-21,28.05924223622968,28.10448448427261,28.041145337012505,28.050193786621094,168000
1995-02-22,28.07731667505485,28.25828552246094,28.05921979031424,28.258285522460938,386400
1995-02-23,28.366876486927044,28.46640938688117,28.29448892332404,28.30353736877441,402800
1995-02-24,28.33975414110689,28.384996405061408,28.267366518779674,28.375947952270508,307600
1995-02-27,28.294498227792936,28.375934263626043,28.104480810849008,28.14972305297852,280900
1995-02-28,28.12257427571874,28.384979248046875,28.12257427571874,28.384979248046875,493500
1995-03-01,28.35783361264212,28.39402740155423,28.17686466808154,28.204010009765625,242600
1995-03-02,28.19495019542984,28.240192413330075,28.1135142032094,28.24019241333008,488600
1995-03-03,28.1497193995689,28.24925231933594,28.07733182155651,28.249252319335938,290000
1995-03-06,28.05923684946859,28.26735115051269,28.02304305798265,28.26735115051269,85700
1995-03-07,28.16782363153273,28.231162778792843,27.92351549210087,28.050193786621094,180900
1995-03-08,28.095420888952308,28.1587600020675,27.99588799691416,28.12256622314453,155900
1995-03-09,28.113533020019528,28.140678368928462,28.04114542292904,28.11353302001953,63500
1995-03-10,28.140665756646616,28.6021364812733,28.104471974322955,28.529748916625977,192100
1995-03-13,28.51166724008227,28.60215174417647,28.475473438444592,28.50261878967285,261300
1995-03-14,28.58404371319905,28.746915757148905,28.58404371319905,28.71072196960449,223300
1995-03-15,28.665481552928643,28.710723790228087,28.547851735950083,28.65643310546875,278500
1995-03-16,28.629291824177983,28.84645459402004,28.629291824177983,28.828357696533203,20400
1995-03-17,28.784247666559786,28.89341674746962,28.76605281974148,28.857027053833008,89900
1995-03-20,28.89341674746962,28.89341674746962,28.80244251337809,28.857027053833008,91700
1995-03-21,28.85702965322849,29.03897813780118,28.738763138256243,28.78425025939941,104400
1995-03-22,28.83883669280765,28.83883669280765,28.720570170092664,28.81154441833496,74900
1995-03-23,28.77516358791748,28.9116250023401,28.73877387740477,28.829748153686523,220500
1995-03-24,28.920708759571355,29.23911857604981,28.920708759571355,29.239118576049805,134000
1995-03-27,29.28461005261412,29.35738945007324,29.211830655155,29.35738945007324,132100
1995-03-28,29.28461005261412,29.35738945007324,29.24822035388456,29.35738945007324,121900
1995-03-29,29.330090829621025,29.6303057791798,29.18453206619859,29.348285675048828,246100
1995-03-30,29.41197149738762,29.41197149738762,29.17543847575692,29.293704986572266,298400
1995-03-31,29.06625554091023,29.211814254104144,28.847917471119352,29.175424575805664,541300
1995-04-03,29.1663360132956,29.24821281433105,29.14814116862106,29.24821281433105,193300
1995-04-04,29.257310129361333,29.439258575439453,29.257310129361333,29.439258575439453,66900
1995-04-05,29.37557661931211,29.466550842351168,29.357381774704297,29.439258575439453,107200
1995-04-06,29.51203979764666,29.57572175775256,29.457455260413035,29.548429489135746,352500
1995-04-07,29.61210955309757,29.61210955309757,29.38467399585412,29.521135330200195,361400
1995-04-10,29.47563488202548,29.5757064819336,29.45744004567856,29.5757064819336,285400
1995-04-11,29.64849607032022,29.657593491636675,29.45745022267471,29.475645065307617,250300
1995-04-12,29.521121972892807,29.5757064819336,29.466537463852017,29.5757064819336,150900
1995-04-13,29.630300475173343,29.74856694928365,29.61210563300253,29.73946952819824,243400
1995-04-17,29.848643790611856,29.87593605863131,29.475649461012623,29.56662368774414,178900
1995-04-18,29.59391665480761,29.59391665480761,29.39377335127065,29.466552734375,329500
1995-04-19,29.466550842351168,29.53023279847851,29.28460239627305,29.439258575439453,223000
1995-04-20,29.52114426254748,29.56663138775942,29.36648803682689,29.48475456237793,207900
1995-04-21,29.493852495305337,29.639411298490064,29.493852495305337,29.630313873291016,145000
1995-04-24,29.61211809439073,29.976015090942383,29.61211809439073,29.976015090942383,169000
1995-04-25,29.93050893921716,29.975996034869464,29.87592442443439,29.894119262695312,293200
1995-04-26,29.83953854638271,29.939610169556552,29.76675918407446,29.92141532897949,204400
1995-04-27,29.87594656789524,30.01240795599464,29.85775171614865,29.994213104248047,502200
1995-04-28,29.98510928878923,30.08518095207099,29.794063386160413,30.03969383239746,130800
1995-05-01,30.01239971053156,30.076081674148927,29.95781517028809,29.95781517028809,518700
1995-05-02,29.98511946244673,30.06699630563909,29.92143747329712,30.021509170532227,228400
1995-05-03,30.121573500054648,30.43998336791992,30.121573500054648,30.43998336791992,724700
1995-05-04,30.47638709465282,30.67653053228935,30.349023088884124,30.42180252075196,311400
1995-05-05,30.54914484081154,30.54914484081154,30.32170927767268,30.38539123535156,314900
1995-05-08,30.358104517003447,30.70380663616621,30.330812244437965,30.603734970092773,183100
1995-05-09,30.73110851479655,30.76749822292538,30.530965120087988,30.576452255249023,180600
1995-05-10,30.65833351622719,30.667430944570285,30.46728752102221,30.61284637451172,330300
1995-05-11,30.658333416019023,30.694723129272464,30.55826170457208,30.69472312927246,351700
1995-05-12,30.57645020948202,30.7856910172232,30.56735278305849,30.71291160583496,94600
1995-05-15,30.79478322053855,30.858465194702145,30.731101246374955,30.85846519470215,147200
1995-05-16,30.84937283623268,30.94944452635316,30.79478827798514,30.876665115356445,221600
1995-05-17,30.87666459691415,30.885762023135985,30.73110577736476,30.75839805603028,189200
1995-05-18,30.703813302702976,30.722008155030505,30.312623977661133,30.312623977661133,577800
1995-05-19,30.267117161055705,30.38538362426392,30.221630059821777,30.330799102783203,363900
1995-05-22,30.430890170730777,30.71291037859106,30.41269531861076,30.667423248291016,216000
1995-05-23,30.721998696324405,30.949434280395508,30.631024462695965,30.949434280395508,136800
1995-05-24,31.00400799919577,31.104079621258904,30.740182813756608,30.931228637695312,370800
1995-05-25,30.84026582725182,30.98582460401761,30.694707050486027,30.958532333374023,379900
1995-05-26,30.84026799899361,30.849365423182107,30.48546845564236,30.603734970092773,518600
1995-05-30,30.676517558034035,30.758394384256547,30.494569055317346,30.594640731811523,61500
1995-05-31,30.540054394071664,31.23145866394043,30.540054394071664,31.23145866394043,564500
1995-06-01,31.09499545743532,31.386113027545893,31.00402121677577,31.14958000183105,810100
1995-06-02,31.022210350737893,31.395204668737968,30.913041282054945,31.17686653137207,112900
1995-06-05,31.176875901609453,31.467993505592965,31.149583626236,31.36792182922364,257200
1995-06-06,31.34062387443157,31.44979295614222,31.31333160400391,31.313331604003903,165800
1995-06-07,31.249651666556563,31.267846514688472,31.11319030556724,31.14958000183105,41900
1995-06-08,31.140475624897444,31.2314498452448,31.0767936706543,31.076793670654297,141100
1995-06-09,31.01310287853012,31.049492556299,30.71288803693684,30.89483642578125,304900
1995-06-12,30.99489721407129,31.19504037189624,30.97670238154176,31.067676544189453,378500
1995-06-13,31.213264306754667,31.42250507593431,31.185972032513845,31.40431022644043,120000
1995-06-14,31.358813594133483,31.41339812606409,31.258741952260703,31.37700843811035,389400
1995-06-15,31.42250118189541,31.577157383427608,31.36791664017816,31.51347541809082,274500
1995-06-16,31.451479729021223,31.607044219970707,31.451479729021223,31.607044219970703,325100
1995-06-19,31.698551604988715,31.98222801946754,31.68024990082879,31.963926315307617,134600
1995-06-20,31.87240089532565,31.982211062062344,31.85409920086953,31.88155174255371,287800
1995-06-21,31.98222706469909,32.009679620119435,31.863265991210938,31.863265991210938,158200
1995-06-22,32.000522411329136,32.30250046096421,32.000522411329136,32.28419876098633,297000
1995-06-23,32.21098007379828,32.22928176702203,32.119471607679536,32.22013092041016,315400
1995-06-26,32.12863500627439,32.183540107395906,31.83580780029297,31.83580780029297,132900
1995-06-27,31.82665268287132,32.03712220895126,31.753445891191337,31.771747589111328,127700
1995-06-28,31.771747123477795,32.06457428590616,31.67108778639304,31.93646240234375,212600
1995-06-29,31.93645682592205,32.018814450974574,31.66193140908032,31.88155174255371,89200
1995-06-30,31.94562365747197,32.055433879153334,31.799210028563472,31.863265991210938,714100
1995-07-03,31.89984873169993,31.98220634460449,31.89984873169993,31.98220634460449,9500
1995-07-05,32.07372466949672,32.2475907946666,32.0005178799515,32.10117721557617,409300
1995-07-06,32.11033633914157,32.51297378540039,32.0462803817822,32.51297378540039,202500
1995-07-07,32.448908537835024,32.66852890018924,32.430606840972175,32.65937805175781,481700
1995-07-10,32.68683181801152,32.76918945697067,32.622775876598844,32.67768096923828,400400
1995-07-11,32.65023333152896,32.67768588197587,32.47636717869851,32.52212142944336,420500
1995-07-12,32.58617367937937,32.9796601910933,32.522117735611985,32.92475509643555,203400
1995-07-13,32.87900360553709,32.95221040454747,32.814947656403014,32.8515510559082,215600
1995-07-14,32.677671696769515,32.85153777412561,32.65021915823961,32.8240852355957,543700
1995-07-17,32.86985546563648,33.04372162762064,32.842402913744245,33.007118225097656,171500
1995-07-18,32.952213344958004,32.952213344958004,32.69598952555816,32.72344207763672,221200
1995-07-19,32.59531781145635,32.63192120035186,31.744289019635616,32.366546630859375,486600
1995-07-20,32.403150339260904,32.54956389628666,32.22928424029283,32.48550796508789,318900
1995-07-21,32.458072055616555,32.577033131659135,32.320809275567434,32.44892120361328,94000
1995-07-24,32.49466080788402,32.72343200478548,32.49466080788402,32.68682861328125,108400
1995-07-25,32.723433231439614,32.97965698157393,32.6227739010297,32.93390274047852,107400
1995-07-26,32.91559921196756,33.0711636230333,32.897297516548065,32.90644836425781,167800
1995-07-27,33.062023438476295,33.20843704905355,33.062023438476295,33.18098449707031,187700
1995-07-28,33.20843448898312,33.20843448898312,32.943059840269825,32.97051239013672,415600
1995-07-31,32.997959442648146,33.02541198794153,32.814942474025585,32.88814926147461,342500
1995-08-01,32.933915136118266,32.933915136118266,32.650238734556815,32.833255767822266,141000
1995-08-02,33.02542644799089,33.26334861137348,32.70514661266817,32.76005172729492,240400
1995-08-03,32.53128360323014,32.769205789920434,32.47637848322469,32.75090408325195,1193600
1995-08-04,32.81494720867816,32.84239975793249,32.75089126041805,32.78749465942383,240500
1995-08-07,32.860687255859375,32.9613465596228,32.842385564266024,32.860687255859375,193100
1995-08-08,32.878988947452726,32.97964825121615,32.76002795209595,32.860687255859375,951900
1995-08-09,32.97051210430007,32.97051210430007,32.824098506279306,32.8515510559082,107100
