,2049,2308,2317,1536,4571,2382,6121,2233,^TWII
T-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T-4,0.03305785123966931,0.0028818443804035088,-0.0024937655860348684,0.022657102082479064,0.0,-0.007776049766718529,-0.004255319148936176,0.06572769953051649,0.0011141546387523071
T-3,0.13636363636363624,0.008645533141210526,0.034912718204488824,0.054582936509214974,0.022727272727272707,0.004665629860031162,-0.004255319148936176,0.07746478873239449,0.02479804706404476
T-2,0.165289256198347,0.028818443804034866,0.034912718204488824,0.05046345626035054,0.03896103896103886,-0.04043545878693611,-0.007092198581560294,0.07511737089201898,0.036826439368238484
T-1,0.15289256198347112,0.06340057636887653,0.032418952618453956,0.0463439760114861,0.03571428571428559,-0.009331259720062102,-0.01134751773049647,0.08685446009389697,0.048399111323261135
T0,0.2024793388429753,0.06051873198847302,0.027431421446383997,0.05664263734737185,0.03896103896103864,0.004665629860031162,-0.01134751773049647,0.08685446009389697,0.03914728237588694
T1,0.2128099173553719,0.09510086455331446,0.034912718204488824,0.05664263734737185,0.04220779220779192,0.023328149300155587,0.0099290780141843,0.14788732394366244,0.04350838935723145
T2,0.24380165289256195,0.16138328530259405,0.05236907730673335,0.05252315709850741,0.03896103896103864,0.05754276827371707,0.02127659574468077,0.15258215962441346,0.06175650416170164
T3,0.29132231404958664,0.16138328530259405,0.1022443890274316,0.0669412986832576,0.05194805194805152,0.04199066874028001,0.05957446808510647,0.2230046948356812,0.06947463340540438
T4,0.2479338842975205,0.1412103746397697,0.12219451371571077,0.019567472252693063,0.14610389610389563,0.0015552099533437946,0.03262411347517746,0.12441314553990646,0.06483515320012301
T5,0.2128099173553717,0.1959654178674355,0.10473815461346647,0.044284275173329,0.11363636363636331,0.004665629860031162,0.051063829787234116,0.13380281690140872,0.09923167225545382
