Date,equal_weight,designed_weight,^TWII
2025-01-02,1.0,1.0,1.0
2025-01-03,0.9900673759661625,0.9885312262474034,1.0033391745006315
2025-01-06,0.9976161244046516,0.9957778702157641,1.0313441000717278
2025-01-07,0.9935706633526779,0.9885107631438865,1.0358797657659122
2025-01-08,0.9890316192882327,0.983981926934464,1.0251956905102346
2025-01-09,0.9469574847939513,0.9389826933448013,1.0109087969519286
2025-01-10,0.9425542303120203,0.9345286144597603,1.0078748401948159
2025-01-13,0.9167292758250576,0.9117845372969898,0.9849452716698823
2025-01-14,0.9253275600121537,0.9205649922493341,0.9984871704612869
2025-01-15,0.9025936207674234,0.8978256518332729,0.9860945430780029
2025-01-16,0.9258276582409979,0.9224901353869361,1.0084547367988834
2025-01-17,0.915517738245988,0.9110906223059048,1.013841042975565
2025-01-20,0.9304154157381439,0.9251791056241585,1.0190416351048308
2025-01-21,0.9250404777020268,0.918822294491453,1.0204952688255746
2025-01-22,0.931970562223895,0.9254657919095163,1.0303673690752322
2025-02-03,0.8732947369491637,0.8699034842911126,0.9939843533134902
2025-02-04,0.8741270673877161,0.8735992391915661,0.9983313109521246
2025-02-05,0.9079606193436461,0.9085474598236751,1.014432316810543
2025-02-06,0.916865968076621,0.9181539779165745,1.0212218718282227
2025-02-07,0.9351210258037708,0.9354432678489848,1.028302701065824
2025-02-10,0.9334713587959264,0.936911511639369,1.018398693243764
2025-02-11,0.9528046060266856,0.9573501234847004,1.0241761024258738
2025-02-12,0.9560750248645992,0.9604839023019679,1.0200459109761622
2025-02-13,0.9547021343430405,0.9578068695583111,1.0248488132821045
2025-02-14,0.9539468071006273,0.9579587672465203,1.0140394174002343
2025-02-17,0.9934025190667424,1.0016519764217404,1.0294879005715563
2025-02-18,0.9977254748487496,1.0057858809551639,1.0365297221603222
2025-02-19,0.9995242398538157,1.0061517676922052,1.0338129591792653
2025-02-20,0.9959941669465077,1.0020158461737534,1.028705266845252
2025-02-21,1.0182512885512387,1.0253089869365504,1.039338957221184
2025-02-24,1.0106322525931184,1.0176452257214943,1.0321149288516738
2025-02-25,0.9815174820975052,0.9877651277324339,1.019869435582418
2025-02-26,0.9878625769198662,0.993342501399777,1.0249863665701027
2025-02-27,0.9525408478085711,0.9545915250958149,1.0096845897973612
2025-03-03,0.932392084907517,0.932456540445604,0.9966796449790697
2025-03-04,0.9346672110770315,0.9337415201974768,0.9896995855009596
2025-03-05,0.9463193741907556,0.9459829534179189,1.0017449079406655
2025-03-06,0.9381771687498411,0.9373942810706539,0.9948917944074495
2025-03-07,0.9199939434546626,0.9175026413606125,0.9887881238817914
2025-03-10,0.9216257960708625,0.9174956118899757,0.9836672579119873
2025-03-11,0.9033733738865545,0.8987857629773723,0.9666709580783258
2025-03-12,0.9137099202819143,0.9083419782439884,0.9757489618276795
2025-03-13,0.9093939987364186,0.9044216431494734,0.9618790052878461
2025-03-14,0.9149640349521434,0.9104775215254507,0.9621580468459622
2025-03-17,0.9194911906587894,0.915639105423624,0.9687531624210919
2025-03-18,0.9249201168972349,0.9210270269342842,0.9754559767459665
2025-03-19,0.8979881026150464,0.892546333058619,0.9618417940438913
2025-03-20,0.9057419122600697,0.8995753794761954,0.980080607253284
2025-03-21,0.8989102584253839,0.8917264281999275,0.972715518329104
2025-03-24,0.8860769178572196,0.8789635483004758,0.968228013394337
2025-03-25,0.8864815595833005,0.8787972909811523,0.9755225292696373
2025-03-26,0.8940530182318229,0.8873761981007513,0.9749575171631516
2025-03-27,0.8743211162220638,0.8679969814068565,0.9614445319360155
2025-03-28,0.8469336655820774,0.8405115065427048,0.9461647397372887
2025-03-31,0.7985062294401281,0.7909532956231069,0.9064403253545869
2025-04-01,0.8165834487358447,0.8081584772398517,0.9320301984214734
2025-04-02,0.821616679665763,0.8127309237225196,0.9328207876551057
2025-04-07,0.740360828875289,0.732350036414301,0.8423396377164615
2025-04-08,0.6714598753755174,0.6636388391072354,0.8085099976347335
2025-04-09,0.6098988682221147,0.602290224042341,0.7617253698990121
2025-04-10,0.6700599462747223,0.6617042785916704,0.832164458300524
2025-04-11,0.6950677805160888,0.6831705265843784,0.8553222557883801
2025-04-14,0.7082788327809632,0.6957920511659446,0.8546355158654629
2025-04-15,0.7354591958907197,0.7248056177917502,0.8697274554395353
2025-04-16,0.717859693505074,0.7065045978465033,0.8526606681000837
2025-04-17,0.7153842618978118,0.7040780216739766,0.8469989131750473
2025-04-18,0.7251132890181999,0.7134358853357781,0.8494646927313609
2025-04-21,0.7008828232205041,0.6872243401610642,0.8368144951054383
2025-04-22,0.6894198642268627,0.6771202801069625,0.8231157958308865
2025-04-23,0.7215354523719509,0.7079302661835771,0.8601562957789191
2025-04-24,0.726785847066551,0.7141099659072603,0.8531341491007497
2025-04-25,0.742965965553816,0.7320189012240779,0.8703870782030647
2025-04-28,0.7594091700674916,0.7473289055090868,0.877468335156114
2025-04-29,0.7834532238950133,0.7740709084599618,0.8861500177715769
2025-04-30,0.7757630677741024,0.7663153110538541,0.8862550646855457
2025-05-02,0.8012003138288497,0.7906016900322904,0.9104583698138967
2025-05-05,0.7631630015244397,0.7499527072652413,0.8993051762551203
2025-05-06,0.7766861188870325,0.7626690339361175,0.8988496593032601
2025-05-07,0.772362176429482,0.7579811170082215,0.8998964500900982
2025-05-08,0.7792575156454202,0.7645958568271286,0.8997611209224282
2025-05-09,0.7840331008410621,0.7688741537604538,0.9160381744591432
2025-05-12,0.8061343320818681,0.7921533939018305,0.9254328587260153
2025-05-13,0.8296360287981503,0.8176340410709544,0.9342188183676411
2025-05-14,0.8509823423027328,0.8377309202902968,0.9540474498963432
2025-05-15,0.8457176541911613,0.8329620576288893,0.951742833520744
2025-05-16,0.8517404631382167,0.8398341907266419,0.9567112617049679
2025-05-19,0.825579902812226,0.8137395481875704,0.9427020410153452
2025-05-20,0.81914315221992,0.8072998644214767,0.9427983625341798
2025-05-21,0.8280748980219789,0.8154275377430252,0.9549690056000784
2025-05-22,0.8294104127491856,0.8187688175725906,0.9491460874943274
2025-05-23,0.8199627298374036,0.8083587988332073,0.9483261569809791
2025-05-26,0.8156082675160266,0.8045037362321165,0.9432600385884877
2025-05-27,0.8066152571673102,0.7948760406847756,0.9344990575290109
2025-05-28,0.8055462321183589,0.7923998915937831,0.9354267723351938
2025-05-29,0.8117472483091833,0.7977394929425431,0.934970399952438
2025-06-02,0.7926056518246325,0.777805551704111,0.9198780326629179
2025-06-03,0.805393309435571,0.7900515120756562,0.925318573158375
2025-06-04,0.820768769742633,0.8061817617503939,0.9468304360601761
2025-06-05,0.8218090393062916,0.8077595200771596,0.9492980120213704
2025-06-06,0.8162428945931535,0.8014661894808491,0.9486949332400343
2025-06-09,0.8145794653819116,0.79867661561606,0.9543724280935482
