stock_id,van_sharpe,van_cagr,van_mdd,van_trades,vp_sharpe,vp_cagr,vp_mdd,vp_trades,bh_sharpe,bh_cagr
2330,-0.07069548654913041,-0.13880349212196985,-0.7096902626317841,33,-0.5353562386087771,-0.5036536321280833,-0.9373232973449306,38,0.8435876267993997,0.6336355446831505
2317,-0.45090627686945783,-0.23363839389666885,-0.6979961426032646,38,-0.3589820608571312,-0.206437558264848,-0.689340799592352,36,0.6686011350653849,0.28668690067761804
2454,-0.6893172703912508,-0.7033160432384034,-0.9894620569419361,40,-0.4452039963015033,-0.5013069598565807,-0.9419078864004142,40,0.8406687831663888,0.5574163700613661
2408,0.4705591588929649,-0.17627963758629428,-0.9549727013452605,35,0.49737054151531884,-0.06606546069541086,-0.9436655495296975,36,0.7605256913579451,0.5590256439780354
3661,-0.7818582244358407,-0.9651656898821355,-0.9999855964352885,40,-0.6346911243614777,-0.9596013291286708,-0.9999784993563253,35,0.9494335099484286,0.6470393707137823
2308,-0.3451825010852233,-0.3933414067467378,-0.8931097873463005,36,-0.19143833683667824,-0.34531964621481814,-0.8940645026110827,33,0.9720224319697234,0.8990921713016049
3017,0.08109184502664572,-0.5823603247293112,-0.9869119230902271,34,0.24966084003657144,-0.7581399139084425,-0.9985529227759079,34,0.926643637722373,1.7775345359958101
2344,0.4892857913479258,0.020812715213549104,-0.8816366428235604,34,0.621204005553679,0.37807985147659995,-0.8093959731543624,33,0.7165952454795793,0.6151747143982711
6669,0.26674056413742503,-0.01249057144476895,-0.7519360300677753,30,0.3058120419813054,0.006113224410542184,-0.7564688036382954,31,1.0133866278727157,0.7455217873762126
2382,1.1245074680638607,0.37627592078347805,-0.3345830618147627,28,0.29059958000235314,-0.10699819091931506,-0.8106962574021306,29,0.8839304438851492,0.5908759999420385
3231,0.2102545364602759,-0.18605260593779438,-0.8710385291486042,31,0.08633510330500986,-0.2476113376772313,-0.8959839401779196,35,0.9103099745010178,0.6313008057626444
2345,-0.5138342966715753,-0.6812678322341907,-0.9869475693357411,38,-0.191169839074428,-0.3813746646503794,-0.9216532615445686,42,0.9567415349163486,1.0341809574647471
2383,0.9018961853626917,0.339441603062391,-0.6941089890534009,31,0.2711866729118136,-0.358522703052213,-0.9516347139138268,33,0.9872875724495035,1.7966089923301252
1815,0.7843288688892752,0.28597829934496133,-0.4305856066239425,34,0.8301912082211226,0.31331987479586476,-0.3863876142291265,36,1.498107590253127,1.0186598722109048
4979,1.2879381417535445,0.6634441372421747,-0.5274361543975657,33,1.2717236850057139,0.6719199794486135,-0.4970765119870183,35,1.5846074311847207,1.3313074282004065
0050,-0.5802447097294164,-0.49958911380002125,-0.9351363922976559,32,-0.5035931692881389,-0.4792581027390751,-0.9237359293831604,29,0.585242379198777,-0.06435266698598507
3450,0.6294624851956375,0.28744970447715,-0.59260849007356,36,0.5645343693076712,0.21075948296476987,-0.6209495488112213,42,1.02616627058425,0.9488628778971406
2327,-0.835701339511733,-0.5604477445978312,-0.9494191980106592,32,-0.8040473928891047,-0.5521147935041604,-0.9499384119686591,34,0.49698070069229866,-0.11562074871949435
3706,0.37449892968926746,0.046054387077361536,-0.5919900415633563,32,0.5413416128257057,0.1792733754967697,-0.5406249999999999,31,0.7466393563870597,0.3774797549745288
3037,-0.6215107348546453,-0.7676549048393932,-0.9961131837022301,38,-0.5658036982523623,-0.7582158261431344,-0.995756963459279,37,0.950984010764623,0.871263513729825
2368,-0.10176402167252321,-0.6556361343047583,-0.9904482086165375,39,-0.4958660011730187,-0.8802131253499423,-0.9996182417650713,42,0.9703902634249991,1.3854625120195534
