year,k,n_days,sigma_daily,sigma_annual,ret_1x_period,ret_levered_actual,ret_naive_compound,drag_empirical,drag_theoretical,abs_error
2004,2.0,205,0.016615929606572682,0.26376970524687976,0.01721313832335669,-0.02257226881771035,0.03472256877765245,0.0572948375953628,0.05659826892156862,0.0006965686737941817
2004,-1.0,205,0.016615929606572682,0.26376970524687976,0.01721313832335669,-0.07082081510539884,-0.01692186000637841,0.05389895509902043,0.05659826892156862,0.002699313822548191
2004,3.0,205,0.016615929606572682,0.26376970524687976,0.01721313832335669,-0.11395878709708185,0.05253339148032099,0.16649217857740284,0.16979480676470585,0.0033026281873030083
2005,2.0,239,0.008346520674487209,0.13249690810411346,0.11815507459270713,0.22962764177473205,0.25027077083742255,0.020643129062690502,0.016649793361344537,0.003993335701345965
2005,-1.0,239,0.008346520674487209,0.13249690810411346,0.11815507459270713,-0.12043069431590914,-0.10566966718435333,0.014761027131555804,0.016649793361344537,0.0018887662297887332
2005,3.0,239,0.008346520674487209,0.13249690810411346,0.11815507459270713,0.32983910151385176,0.3979966070267995,0.06815750551294775,0.049949380084033615,0.018208125428914132
2006,2.0,239,0.010967990720058395,0.17411145496403257,0.19574768944297882,0.3889078042538727,0.4298125368082226,0.0409047325543499,0.028750940084033613,0.012153792470316286
2006,-1.0,239,0.010967990720058395,0.17411145496403257,0.19574768944297882,-0.18744006452088402,-0.16370317180722715,0.023736892713656865,0.028750940084033613,0.005014047370376747
2006,3.0,239,0.010967990720058395,0.17411145496403257,0.19574768944297882,0.5666132026662112,0.7096950372250361,0.14308183455882495,0.08625282025210083,0.056829014306724115
2007,2.0,234,0.013208315520062252,0.2096755086249569,0.144135053771431,0.2561268233261784,0.3090450212685554,0.052918197942376954,0.040823546137339066,0.012094651805037888
2007,-1.0,234,0.013208315520062252,0.2096755086249569,0.144135053771431,-0.16089203597029056,-0.1259773077455465,0.03491472822474406,0.040823546137339066,0.005908817912595003
2007,3.0,234,0.013208315520062252,0.2096755086249569,0.144135053771431,0.3224184118166393,0.49772429579832256,0.17530588398168323,0.1224706384120172,0.052835245569666026
2008,2.0,150,0.01947009855669987,0.3090782326976728,-0.10989387780994841,-0.2516052503709175,-0.20771109123978893,0.043894159131128596,0.056862710671140945,0.012968551540012349
2008,-1.0,150,0.01947009855669987,0.3090782326976728,-0.10989387780994841,0.0616620830496859,0.12346154584305213,0.06179946279336623,0.056862710671140945,0.004936752122225288
2008,3.0,150,0.01947009855669987,0.3090782326976728,-0.10989387780994841,-0.40619376366872095,-0.2947787917692609,0.11141497189946004,0.17058813201342285,0.059173160113962814
2009,2.0,177,0.014756446929688073,0.23425133286526365,0.381485828164988,0.8380869081174283,0.9085030934207028,0.07041618530327454,0.038542232499999995,0.03187395280327454
2009,-1.0,177,0.014756446929688073,0.23425133286526365,0.381485828164988,-0.30384414131126425,-0.27614168773031234,0.027702453580951913,0.038542232499999995,0.010839778919048082
2009,3.0,177,0.014756446929688073,0.23425133286526365,0.381485828164988,1.3579055726767484,1.6365699765697408,0.2786644038929924,0.11562669749999999,0.16303770639299242
2010,2.0,249,0.010083225527502421,0.16006624295489688,0.12946364167583657,0.2437082945849578,0.27568811786764247,0.03197982328268467,0.025316187822580646,0.006663635460104025
2010,-1.0,249,0.010083225527502421,0.16006624295489688,0.12946364167583657,-0.1367360052221841,-0.11462400107341697,0.022112004148767128,0.025316187822580646,0.003204183673813518
2010,3.0,249,0.010083225527502421,0.16006624295489688,0.12946364167583657,0.33496860127827777,0.44084334724938135,0.10587474597110358,0.07594856346774194,0.02992618250336164
2011,2.0,247,0.013496654280660318,0.21425274454825535,-0.16555734727172022,-0.3344823057081925,-0.30370545930779147,0.030776846400401014,0.04499344016260163,0.014216593762200615
2011,-1.0,247,0.013496654280660318,0.21425274454825535,-0.16555734727172022,0.14574750428166383,0.19840470370302454,0.05265719942136071,0.04499344016260163,0.007663759258759083
2011,3.0,247,0.013496654280660318,0.21425274454825535,-0.16555734727172022,-0.4929445668638688,-0.4189821363845744,0.0739624304792944,0.1349803204878049,0.06101789000851049
2012,2.0,247,0.00958837807838168,0.15221078323116785,0.10914375798900866,0.20277495560906966,0.23019987588598068,0.027424920276911013,0.022708437560975615,0.004716482715935399
2012,-1.0,247,0.00958837807838168,0.15221078323116785,0.10914375798900866,-0.11861621570547942,-0.09840361738761216,0.02021259831786726,0.022708437560975615,0.002495839243108356
2012,3.0,247,0.00958837807838168,0.15221078323116785,0.10914375798900866,0.2753393409925424,0.3644685134177885,0.0891291724252461,0.06812531268292685,0.021003859742319247
2013,2.0,245,0.00770862186910061,0.12237057850004468,0.10255697935133301,0.1980996567853628,0.21563189271633587,0.017532235930973084,0.014558598524590164,0.00297363740638292
2013,-1.0,245,0.00770862186910061,0.12237057850004468,0.10255697935133301,-0.10611487350023141,-0.09301739617273141,0.013097477327499996,0.014558598524590164,0.001461121197090168
2013,3.0,245,0.00770862186910061,0.12237057850004468,0.10255697935133301,0.28313977768419063,0.3403034276364669,0.057163649952276296,0.04367579557377049,0.013487854378505804
2014,2.0,247,0.007611679598130644,0.12083166765694649,0.15524837188838325,0.3154853767431558,0.3345988007507603,0.019113424007604518,0.014310603577235775,0.004802820430368743
2014,-1.0,247,0.007611679598130644,0.12083166765694649,0.15524837188838325,-0.1467161166585269,-0.13438527650518328,0.012330840153343625,0.014310603577235775,0.0019797634238921495
2014,3.0,247,0.007611679598130644,0.12083166765694649,0.15524837188838325,0.4763427958370403,0.5417930916915046,0.06545029585446427,0.04293181073170732,0.022518485122756948
2015,2.0,244,0.010441908473727541,0.16576015820628662,-0.07200621093130477,-0.16125785674922244,-0.138827527449926,0.022430329299296448,0.026604162427983538,0.0041738331286870906
2015,-1.0,244,0.010441908473727541,0.16576015820628662,-0.07200621093130477,0.049392646691655884,0.0775934190287717,0.02820077233711582,0.026604162427983538,0.0015966099091322822
2015,3.0,244,0.010441908473727541,0.16576015820628662,-0.07200621093130477,-0.26164520908544486,-0.2008372941565999,0.060807914928844964,0.07981248728395061,0.01900457235510565
2016,2.0,241,0.009561493051694037,0.15178399666352685,0.19813373993729333,0.4042308106580126,0.43552445877612556,0.03129364811811297,0.022032737999999996,0.009260910118112975
2016,-1.0,241,0.009561493051694037,0.15178399666352685,0.19813373993729333,-0.18361071084517178,-0.1653686340121454,0.018242076833026366,0.022032737999999996,0.00379066116697363
2016,3.0,241,0.009561493051694037,0.15178399666352685,0.19813373993729333,0.609903679026452,0.7199502885648983,0.11004660953844625,0.06609821399999999,0.04394839553844626
2017,2.0,243,0.00591784987831394,0.09394295444539522,0.19112974867190213,0.40667691993958965,0.41879007817118885,0.012113158231599197,0.008510090165289256,0.003603068066309941
2017,-1.0,243,0.00591784987831394,0.09394295444539522,0.19112974867190213,-0.16765643005345643,-0.16046089763521554,0.007195532418240891,0.008510090165289256,0.001314557747048365
2017,3.0,243,0.00591784987831394,0.09394295444539522,0.19112974867190213,0.6470912035662555,0.6899630692302365,0.042871865663981046,0.025530270495867768,0.017341595168113278
2018,2.0,240,0.010512735850517766,0.16688450795629864,-0.076297518184814,-0.16984219023010716,-0.14677372508846598,0.02306846514164118,0.026524227615062762,0.003455762473421581
2018,-1.0,240,0.010512735850517766,0.16688450795629864,-0.076297518184814,0.054340750595644804,0.0825996678442178,0.02825891724857299,0.026524227615062762,0.001734689633510228
2018,3.0,240,0.010512735850517766,0.16688450795629864,-0.076297518184814,-0.27497788593021955,-0.21187277231428991,0.06310511361592963,0.07957268284518829,0.016467569229258655
2019,2.0,240,0.007789323191908625,0.1236516722837884,0.3078870060867571,0.6856175962248894,0.7105684206905811,0.024950824465691746,0.014561653389121337,0.010389171076570409
2019,-1.0,240,0.007789323191908625,0.1236516722837884,0.3078870060867571,-0.24665538367602258,-0.23540795546854287,0.011247428207479704,0.014561653389121337,0.003314225181641633
