date,sigma_252,ann_emp_drag_2x,ann_theory_drag_2x,ann_emp_drag_inv,ann_theory_drag_inv
2005-03-22,0.02020376270780253,0.10723611254844301,0.10286439094340442,0.10305994129922186,0.10286439094340442
2005-03-23,0.020177770038416674,0.1069993020871291,0.10259988573825286,0.10281436815437876,0.10259988573825286
2005-03-24,0.02017784880872111,0.10700034622729593,0.10260068680199719,0.10281540596432902,0.10260068680199719
2005-03-25,0.020180042687539472,0.1070209229142205,0.10262299896347066,0.10283655148086497,0.10262299896347066
2005-03-28,0.020166968283393705,0.10687660653187392,0.10249006565533872,0.10269590841038928,0.10249006565533872
2005-03-29,0.020162854498158755,0.10683183633233029,0.10244825678150803,0.10265266026901537,0.10244825678150803
2005-03-30,0.020161807705604835,0.10682356208170485,0.1024376194693622,0.10264433782391376,0.1024376194693622
2005-03-31,0.020160666365597733,0.10678704717524812,0.10242602201284581,0.10261460353752994,0.10242602201284581
2005-04-01,0.020160507732405516,0.10678610090763513,0.10242441015115242,0.10261365542623874,0.10242441015115242
2005-04-04,0.020127890415441583,0.10643259566581767,0.10209325708915833,0.10227313849110303,0.10209325708915833
2005-04-06,0.02010380892699665,0.10617408875211809,0.10184910961004394,0.10202279972322068,0.10184910961004394
2005-04-07,0.020088220675486518,0.10600851080275403,0.10169122569657509,0.10186173302697159,0.10169122569657509
2005-04-08,0.020089041727029355,0.10601619299558729,0.1016995385726023,0.10186947334880495,0.1016995385726023
2005-04-11,0.019980027588412372,0.10500510467437058,0.10059877861329732,0.10078973433793252,0.10059877861329732
2005-04-12,0.01997790250705654,0.10498537116333051,0.10057738032252693,0.10076970544883249,0.10057738032252693
2005-04-13,0.019485879658630172,0.09930501194869921,0.09568427552979551,0.09585880839195804,0.09568427552979551
2005-04-14,0.019440100868377056,0.09883659260502119,0.09523521548671393,0.09541132854508456,0.09523521548671393
2005-04-15,0.01944210900013878,0.0988645193384276,0.09525489179806589,0.09543181710743855,0.09525489179806589
2005-04-18,0.01952370623319021,0.09971734477586713,0.09605612648013737,0.09623613558374394,0.09605612648013737
2005-04-19,0.019528534877838462,0.09976194273146466,0.09610364596768822,0.09628133617938416,0.09610364596768822
2005-04-20,0.019287869280106493,0.09767290812307688,0.0937495191443519,0.09396502617687201,0.0937495191443519
2005-04-21,0.01929406346509265,0.09772846402248486,0.09380974301874577,0.09402168571282672,0.09380974301874577
2005-04-22,0.01929079496577865,0.09769085785824783,0.09377796214375117,0.09398458916950198,0.09377796214375117
2005-04-25,0.019291391303963127,0.09768861794317754,0.09378376016754128,0.09398315413226396,0.09378376016754128
2005-04-26,0.01929245289865915,0.09769819024471363,0.09379408218943941,0.09399286591527403,0.09379408218943941
2005-04-27,0.01923965795804411,0.09722303160461909,0.09328143846231757,0.09349627876472792,0.09328143846231757
2005-04-28,0.019240574204609527,0.09722862668824417,0.09329032332221755,0.09350192890837175,0.09329032332221755
2005-04-29,0.0192448872790096,0.09726503016678589,0.09333215296820994,0.09353879623973713,0.09333215296820994
2005-05-03,0.019243875166863586,0.09725608432632837,0.09332233632233292,0.09352974048254747,0.09332233632233292
2005-05-04,0.019213503029556364,0.09698706622279407,0.09302799206402644,0.09325113860187026,0.09302799206402644
2005-05-05,0.01927362270897101,0.09752371649558883,0.09361107814659629,0.09381384526254048,0.09361107814659629
2005-05-06,0.01926085168160989,0.09740939338606736,0.09348706269024558,0.09369703176822397,0.09348706269024558
2005-05-09,0.019223382016057965,0.09701930671070508,0.09312368086609579,0.09332213415821455,0.09312368086609579
2005-05-10,0.019199530154161364,0.09680428716459999,0.09289273345141896,0.09310066689238577,0.09289273345141896
2005-05-11,0.01919897193778533,0.09679842614951711,0.09288733191390289,0.09309488601971769,0.09288733191390289
2005-05-12,0.019199159863553104,0.09679956514254473,0.09288915034549965,0.0930960274477926,0.09288915034549965
2005-05-13,0.019200082944814158,0.09680791265669256,0.09289808264211137,0.09310455600387856,0.09289808264211137
2005-05-16,0.01918051784834289,0.0966072941990897,0.09270885076251124,0.09291016998385299,0.09270885076251124
2005-05-17,0.019188501460477195,0.09669764279854365,0.09278604425128133,0.09299734663707622,0.09278604425128133
2005-05-18,0.019185205724622255,0.09665685518491776,0.09275417391141179,0.0929577578434829,0.09275417391141179
2005-05-19,0.019257244262459696,0.09740936051441024,0.09345204705917728,0.09366556298407322,0.09345204705917728
2005-05-20,0.019193521488538912,0.0967464947789414,0.09283459931701327,0.09303604100511191,0.09283459931701327
2005-05-23,0.019149704331051218,0.09629312906302476,0.0924112163436038,0.09260847881260553,0.0924112163436038
2005-05-24,0.0190414977681858,0.09517071927050993,0.09136981658846786,0.09155932894978171,0.09136981658846786
2005-05-25,0.018986724132443573,0.09467754504637374,0.09084491470694182,0.09104304316684787,0.09084491470694182
2005-05-26,0.01873973876595269,0.09207385838251177,0.0884968078720698,0.08869343353670135,0.0884968078720698
2005-05-27,0.018728580399043855,0.0919720783409699,0.08839145038838932,0.08858819252322983,0.08839145038838932
2005-05-30,0.018703024576168608,0.09172590675367376,0.08815038833078526,0.08834957678434881,0.08815038833078526
2005-05-31,0.018702683648408304,0.09172261714931224,0.08814717466441471,0.08834626389499904,0.08814717466441471
2005-06-01,0.01867707549859957,0.09149227388605186,0.08790595359345786,0.08810457469970656,0.08790595359345786
2005-06-02,0.018670916664721645,0.09143138505953771,0.08784798853344708,0.08804738652354144,0.08784798853344708
2005-06-03,0.018636187727419002,0.09109452773983585,0.08752148823892386,0.08772847203935921,0.08752148823892386
2005-06-07,0.018102654264175178,0.08544095927155321,0.08258193503488145,0.0828389234526924,0.08258193503488145
2005-06-08,0.018075084789295967,0.08518862361145897,0.08233058991534009,0.0825777970102543,0.08233058991534009
2005-06-09,0.017534188018600596,0.08092432919025745,0.07747683286685245,0.07769606999279197,0.07747683286685245
2005-06-10,0.017539032925047254,0.08096880163624441,0.07751965433836469,0.07774129980028999,0.07751965433836469
2005-06-13,0.017529209893847122,0.08088512315725563,0.07743284627464206,0.077653929209943,0.07743284627464206
2005-06-15,0.0175288946960814,0.08088335600570097,0.07743006161511029,0.07765218447644719,0.07743006161511029
2005-06-16,0.017532769417540745,0.0809204840191184,0.07746429686906031,0.07769016578233212,0.07746429686906031
2005-06-17,0.017489092167622507,0.08055140410211242,0.07707882290159392,0.07730194250586529,0.07707882290159392
2005-06-20,0.017489158223600403,0.0805517968517019,0.07707940515327266,0.07730233476364683,0.07707940515327266
2005-06-21,0.01748976750799145,0.08055532850350793,0.07708477580586556,0.07730405812209329,0.07708477580586556
2005-06-22,0.01738020799144988,0.07951765858088658,0.07612205071616668,0.07636383710999607,0.07612205071616668
2005-06-23,0.01731505422474888,0.07893875527713931,0.07555239790711049,0.07581183238202976,0.07555239790711049
2005-06-24,0.017176124883109718,0.07779722171219655,0.07434485503204558,0.0745828014000589,0.07434485503204558
2005-06-27,0.017172227379943086,0.07775996119884977,0.07431111908349368,0.0745436774676139,0.07431111908349368
2005-06-28,0.01717335568876677,0.07777272641059596,0.07432088469445029,0.0745570424086841,0.07432088469445029
2005-06-29,0.01717048300922919,0.07774782071342404,0.07429602266609754,0.07453280604521417,0.07429602266609754
