N,trial,sum_abs_f,max_abs_f,n_active,mean_f,lam
5,0,2.406145110761402,0.7209323885989669,5,0.48122902215228036,0.14518146632451706
5,1,2.3179233087947435,0.653900841444171,5,0.4635846617589487,0.19214723654952637
5,2,1.9200674969958325,1.0215026968366865,5,0.2613605517992121,0.17832437265139836
5,3,2.4392736602991105,0.894683806840601,5,0.4878547320598221,0.1739039572296043
5,4,2.3826499477402105,0.8213416845952897,5,0.36623187417883885,0.2531893773801857
5,5,2.6562753092458644,1.256636158714164,5,0.47655902852156806,0.16510453443465276
5,6,2.2122571501364745,0.582662685284546,5,0.4424514300272949,0.22472354660578234
5,7,2.3252681309188303,0.920859893532168,5,0.46505362618376606,0.2895436104885977
5,8,2.896503326110956,1.0786730400452347,5,0.533966116524667,0.2268385476898156
5,9,2.040253845471865,0.9611369497527078,5,0.3245079478900566,0.2093907006211825
5,10,2.123387642365373,0.806565020813294,5,0.3953493742832731,0.23211743934581164
5,11,2.3353134407073073,1.039812208126522,5,0.4367953739962765,0.20855723184090377
5,12,2.962022403047339,1.089775295122224,5,0.572046326054851,0.22951414267984588
5,13,2.112486138438224,0.6260784564649384,5,0.4224972276876448,0.19530612184081775
5,14,3.0348598562663494,1.2132503126446967,5,0.6069719712532698,0.31647214103060334
5,15,2.427820006944316,1.0513913989252657,4,0.4855640013888632,0.24083146016269302
5,16,2.0926911407347912,0.9178866950937223,5,0.3775399305559529,0.19893459281156126
5,17,2.8863177426281146,1.429840423127298,5,0.5772635485256229,0.15054623330364053
5,18,1.7735021335326602,0.6967048623366452,5,0.3275220902441775,0.17043532504876452
5,19,2.0644404410875685,1.0829384889596834,5,0.4128880882175137,0.27126305942316237
5,20,2.28082289496201,0.7193760241713081,5,0.456164578992402,0.16525120749516098
5,21,2.9547892696758304,1.1029218276833042,4,0.5620474574967391,0.21024020547503577
5,22,2.792510749915385,0.8646240554335116,5,0.558502149983077,0.26403907582001607
5,23,2.093526791819638,0.6712283407153713,5,0.41870535836392764,0.30975708933876805
5,24,2.0266176873722124,0.7161216080299085,5,0.31150158292316743,0.24351785603974863
5,25,2.6094441088724296,1.0065033799013283,5,0.3859509902788419,0.22446279165995425
5,26,2.009436204342853,0.6237048762641344,5,0.4018872408685706,0.18030720242409906
5,27,2.9756133617427665,1.2874898900605587,5,0.5951226723485533,0.2859266850083567
5,28,1.711074847570272,0.8884429717189972,5,0.3422149695140544,0.23288953760168188
5,29,1.5472553327816163,0.6429853726624476,5,0.28959477252655913,0.22952228529575777
10,0,4.478429428921878,0.990655666698094,9,0.3012702804165387,0.2037707684877419
10,1,4.1203185502122075,0.8123787622390007,10,0.3555188281743772,0.1989175589951095
10,2,3.845497683539282,0.8155393188464286,10,0.32468009723496233,0.19246616537881964
10,3,5.594637936381133,1.0215200229621721,10,0.430190688186769,0.2172308536159666
10,4,4.471948190818119,1.002777299929391,10,0.2417562333911178,0.24303404074901408
10,5,5.316100670636177,1.4949652936434237,10,0.3051938190048763,0.18485342505816788
10,6,3.2449726161631562,0.7562091376355435,10,0.25307638042764513,0.24135812530538492
10,7,4.482735156324657,0.8756869972733954,10,0.32066191679646455,0.1736789069067197
10,8,5.048554879120946,1.1635081570455013,10,0.29086725801292185,0.1927447373305992
10,9,3.109186219610297,1.001814464584835,10,0.2985048317906511,0.218940417678429
10,10,3.68122261614762,0.9213495556711422,9,0.2856038191403239,0.2050928460773424
10,11,3.8243047105476196,0.9339191537543197,10,0.28026187457414803,0.20602014900515017
10,12,3.487831074720508,0.791398605793302,10,0.2503668183233437,0.23395717204693262
10,13,3.8619923932084665,0.8871560689011124,10,0.3132506411433206,0.2447856194951064
10,14,4.050501240490446,1.0898600775837495,10,0.24759149843511902,0.205490843771949
10,15,3.8883854031295195,1.1103865621238198,10,0.2614068555328282,0.224041633697505
10,16,5.219248292049497,1.1596738912578928,10,0.2535543442491851,0.21383336874347708
10,17,3.0604408198707493,0.6751402423042284,10,0.263062534334288,0.244992633056864
10,18,3.5441418068944603,0.7926129652658023,10,0.32035990915720686,0.21631612616822013
10,19,5.441202330759161,1.1405125371447715,10,0.3547021538983547,0.17203335832640948
10,20,4.3396244662056365,1.394839133563144,10,0.41539644145948385,0.21570342554620453
10,21,4.621597131059016,1.164675551154308,10,0.2292246028750399,0.22980249578420042
10,22,5.131559732826868,1.3052890240077597,10,0.4998635784319008,0.24664860026389887
10,23,6.550261752604469,1.3940105646067769,10,0.2845994646102348,0.22303532130581352
10,24,4.705740710565219,0.892485440851685,10,0.3965495712596093,0.2170915639183543
10,25,3.9141695139736,1.0914471698110635,10,0.37077978729017,0.19074818790255138
10,26,3.179159088679583,0.9959369825505572,10,0.3086471908931057,0.25920648171660043
10,27,4.885022136381707,0.8645472965549615,10,0.34518019276776346,0.213301101713722
10,28,4.387535131400066,1.0939132507357032,10,0.33476345439123495,0.1846805643942268
10,29,4.663969623778037,0.79013477591124,10,0.28234363687606007,0.25185094119889145
20,0,7.515109459803719,1.0892041652765765,20,0.19720873825430324,0.2142599555302099
20,1,7.494753440814004,0.9916755768294931,19,0.1444144398805068,0.2074779216427874
20,2,7.082514611928491,0.8628958653913549,20,0.16984170444358085,0.2094483639973232
20,3,6.7121363634238635,1.1788696047778255,20,0.22097026619788956,0.19084811487984069
20,4,5.5879346024482786,0.9392366889973494,19,0.19446230904391773,0.21487870971594888
20,5,7.153905359146318,0.916689093758424,20,0.24909448056343667,0.19458169162351685
20,6,6.9601502769960675,0.9458774533912007,20,0.24141632128126397,0.1843961254250518
