date,EW,IV,HRP,HRP_mu,CRISP,MV_LW
2020-02-03,0.9779756255909247,0.9775720163843186,0.9746681591838142,0.9747533620282766,0.9840150587665881,0.9695302728128996
2020-02-04,1.0045534044321491,1.0033719990436714,1.002386560992962,1.0024969911188708,1.010894754994015,0.9956383033974638
2020-02-05,1.0004379674310644,1.0005976472246922,1.000081261208951,1.0001212028460933,0.9945824675454474,0.9929054658417245
2020-02-06,1.0236663928750682,1.0234555845967226,1.0230003605915003,1.0231060426355265,1.0229037189630141,1.0134237006097926
2020-02-07,1.0038685122681614,1.0050833005621131,1.0050368794386226,1.0050683662926176,0.9904572012941198,0.998706010760199
2020-02-10,1.02198045416109,1.0197306380626634,1.0144496406558086,1.0144500268885055,1.016007003893026,1.0148787063643636
2020-02-11,1.0187868222173464,1.0178630201472338,1.0141753095882327,1.014273505605868,1.0281909350126934,1.0125993299835965
2020-02-12,1.036713043399459,1.0351622273214969,1.033089402640786,1.0331744419944948,1.0528573627301452,1.0305828565084243
2020-02-13,1.0358518836491668,1.0338175995764056,1.0292482812607229,1.0293457369291392,1.0516858746712607,1.028974954816098
2020-02-14,1.041472934568611,1.039701566786924,1.0377974185950591,1.0378727657436786,1.053463808054196,1.0354731687369119
2020-02-17,1.0347491598470318,1.0345086407656148,1.0352357162240833,1.0352541243139493,1.0331716877863002,1.0331044008023909
2020-02-18,1.0297843210361526,1.0297377811791115,1.0307240246397362,1.0306656097058522,1.0230560897697487,1.0329277552726832
2020-02-19,1.040072027011129,1.0397548326218955,1.0415082038284085,1.04142385716565,1.0363691924007636,1.0398216040358583
2020-02-20,1.0414979399833,1.0413581281588524,1.0446212003616242,1.044563508306215,1.0437735188001274,1.039632441014165
2020-02-21,1.0331965043997169,1.0329636740645487,1.0364762551922566,1.0364157469355653,1.0334244649386504,1.0277037253947576
2020-02-24,1.0234925128287338,1.0231047888409237,1.027067682387011,1.0270118995241209,1.0225220221811266,1.0152409178862287
2020-02-25,1.0231270835094328,1.0222043073720033,1.025539432292306,1.0255260536315678,1.0294070728591225,1.0125321736249857
2020-02-26,1.0164487053962636,1.0166051648270933,1.0212108049367294,1.0212050728146118,1.022924017050211,1.0094214492945712
2020-02-27,0.988758149388005,0.9907889718614185,0.9955313376676322,0.9954410764907516,0.9869102879893862,0.9898745090190177
2020-03-02,0.9855457834207109,0.9859498986225123,0.989377127203419,0.9893296868512391,0.9871388556624388,0.9824984617293434
2020-03-03,1.0047533830274453,1.0042248771047604,1.0063883774892968,1.006401200414167,1.009612884922141,1.0007613363719516
2020-03-04,1.0083441711728909,1.0075765216556805,1.007533788048748,1.0075688647748173,1.0158312932732396,1.0035186326360346
2020-03-05,1.024102335817099,1.0225414777898905,1.0219464531838252,1.022037097994293,1.0339776279084973,1.015319106235079
2020-03-06,1.0185108734570885,1.0157806085271295,1.0150349526068894,1.0151824299853445,1.0299225775215584,1.009759680253291
2020-03-09,0.9757194826807533,0.9746387282661755,0.9730337111604057,0.9731027524557518,0.975788507470066,0.9707972930616476
2020-03-10,0.9910807516568573,0.9871172138414603,0.9824997155386843,0.9826803248565325,1.0062216506079606,0.9771439355373346
2020-03-11,0.9731274682384549,0.9703107548099902,0.9650423608580067,0.9651191653934418,0.9692992772536406,0.968259812757524
2020-03-12,0.9099792920889936,0.9094864261600684,0.9026330859524737,0.9026095963365074,0.8961591297959876,0.9116270353457737
2020-03-13,0.8750665707201963,0.8738533369656839,0.8622633204142524,0.8622693079476991,0.8622093758744103,0.8729070001337643
2020-03-16,0.8316018945466862,0.8329208817547987,0.8230242858065049,0.8229701366257444,0.8116899323975636,0.8391163087274751
2020-03-17,0.8031636101692786,0.8031228637349641,0.788650852660523,0.7886374153000257,0.786159750637289,0.807616869618463
2020-03-18,0.7911041760321723,0.791410208529165,0.7789160068700768,0.7789033022854888,0.7765730156991061,0.7966920161222959
2020-03-19,0.7310925974331,0.732696052107435,0.7210585247437263,0.7209651137442289,0.7138139556896013,0.7432398082783594
2020-03-20,0.7805296398339258,0.7814922211566452,0.7701904327154185,0.7701715968696381,0.7666702339085862,0.7867824916361454
2020-03-23,0.7522098664336837,0.7530140028107186,0.7430257602244271,0.7430320258770029,0.7444901417071087,0.7559919387697824
2020-03-24,0.7888586839238335,0.7873169732263303,0.774898884560532,0.7750478945257008,0.7956708178745447,0.7788737750224771
2020-03-25,0.8293862992176445,0.8271944285425059,0.81707623136342,0.8172707271798223,0.840985906332066,0.8198072984364752
2020-03-26,0.8412956485619145,0.8377140711651234,0.8270385169746342,0.827327245050702,0.8636196520978193,0.8234359663040866
2020-03-27,0.8398280269497007,0.8364916374165752,0.8228180866747842,0.823077865179792,0.8616453583348879,0.8287715533700116
2020-03-30,0.8433768665948246,0.8390167811637139,0.8241758148848743,0.8244472780380173,0.8683202435086829,0.8326693489844516
2020-03-31,0.8476420774250223,0.8436465805679119,0.8285001002647769,0.8287082388151241,0.8641878178136253,0.8402089035984888
2020-04-01,0.8539358234500224,0.8482522574608675,0.8317420292129477,0.831984890092331,0.8731943423753635,0.8476544442670301
2020-04-06,0.8707640749057864,0.8626305543032176,0.8437607679530975,0.8440843768212631,0.8930438245057002,0.8593054088097225
2020-04-07,0.8940331484546792,0.883637843125492,0.8640277680475704,0.8644126341481247,0.919436730430833,0.8781174484683467
