expr,ic_mean_is,ic_ir_is,n_days_is,valid_frac_is,abs_ic,abs_ir
"ts_rank(ts_std(amount, 20), 20)",-0.010991307896684442,-0.08329588843373562,957,1.0,0.010991307896684442,0.08329588843373562
"delta(high, 1)",-0.013872635926658678,-0.07453144655428949,974,1.0,0.013872635926658678,0.07453144655428949
"log(ts_std(amount, 10))",-0.007779691989785971,-0.04499920042163134,971,1.0,0.007779691989785971,0.04499920042163134
"ts_mean(log(close), 10)",-0.007837519917188241,-0.036586970324718034,971,1.0,0.007837519917188241,0.036586970324718034
"ts_mean(log(close), 5)",-0.0076233819014515656,-0.035731370121672906,974,1.0,0.0076233819014515656,0.035731370121672906
"ts_std(ts_std(amount, 20), 10)",0.002611833512262518,0.017000028541952057,962,1.0,0.002611833512262518,0.017000028541952057
"delta(zscore_xs(low), 5)",-0.006627534112640139,-0.03584266657064954,970,1.0,0.006627534112640139,0.03584266657064954
"ts_std(ts_std(close, 10), 10)",-0.001876480916125731,-0.008700867059519635,967,1.0,0.001876480916125731,0.008700867059519635
"delta(ts_mean(high, 10), 5)",-0.008909365592554702,-0.04415274812284056,966,1.0,0.008909365592554702,0.04415274812284056
"log(ts_rank(ret, 10))",-0.018894482324584273,-0.13095791209519012,970,0.9989701338825953,0.018894482324584273,0.13095791209519012
"ts_mean(ts_rank(low, 10), 20)",-0.009706349052629798,-0.05571639832256677,962,1.0,0.009706349052629798,0.05571639832256677
"ts_rank(zscore_xs(volume), 10)",-0.012395447524378237,-0.0936498011082872,971,1.0,0.012395447524378237,0.0936498011082872
"delta(log(low), 5)",-0.015747578907065546,-0.07613540499985905,970,1.0,0.015747578907065546,0.07613540499985905
"ts_std(log(high), 10)",0.008643837098012294,0.04061857084741232,971,1.0,0.008643837098012294,0.04061857084741232
"ts_std(amount, 10)",-0.007779691989785971,-0.04499920042163134,971,1.0,0.007779691989785971,0.04499920042163134
"ts_rank(delta(close, 1), 10)",-0.024608500571691286,-0.1544883153864845,970,1.0,0.024608500571691286,0.1544883153864845
"ts_mean(log(amount), 10)",-0.006112796248542271,-0.03438123100153766,971,1.0,0.006112796248542271,0.03438123100153766
"delta(log(low), 1)",-0.016069005729720563,-0.08550493173952121,974,1.0,0.016069005729720563,0.08550493173952121
