N,rep,lambda,sum_abs_f_reg,sum_abs_f_un,max_abs_f_reg,n_active_reg_5pct,n_active_reg_2pct
5,0,0.32188758248682003,1.6433402187974187,2.7077197993975513,0.6801210792143549,4,4
5,1,0.32188758248682003,2.254318575954477,5.256989957447416,0.881985805250133,5,5
5,2,0.32188758248682003,0.8586046000793476,1.4048573480029,0.3802581094425312,3,3
5,3,0.32188758248682003,1.4612281354171572,3.272977974503366,0.5798938999144695,4,5
5,4,0.32188758248682003,1.3947137813598414,2.948423362901004,0.8547289713317548,5,5
5,5,0.32188758248682003,1.934509556164731,3.203853575623044,0.6669906295306981,5,5
5,6,0.32188758248682003,1.2370966264724714,5.147732839402375,0.3863531583072303,5,5
5,7,0.32188758248682003,1.7957773920169284,3.641745945100853,0.7296091186013753,5,5
5,8,0.32188758248682003,1.571053309215557,3.5359261783929785,0.5282699037714558,5,5
5,9,0.32188758248682003,0.8697409610883163,1.4112497641939792,0.5180778199771289,4,5
5,10,0.32188758248682003,1.8335339913745659,3.8370086053767,0.6639092077777293,5,5
5,11,0.32188758248682003,1.2773637774097757,1.9972116975588197,0.5591891102227083,5,5
5,12,0.32188758248682003,1.5845183709715982,3.1792412411422966,0.7610939662993256,5,5
5,13,0.32188758248682003,2.260311017910678,3.610331812116354,0.6228044864423513,5,5
5,14,0.32188758248682003,1.2868643826223172,2.2456731262693017,0.5715693296200891,5,5
5,15,0.32188758248682003,1.6238812321243499,2.5604777952171602,0.5653879133842231,5,5
5,16,0.32188758248682003,2.133033507403352,3.649067557156156,0.6867038627995988,5,5
5,17,0.32188758248682003,1.0150144668081273,1.5884928534372953,0.382413508389007,5,5
5,18,0.32188758248682003,0.8601752087095891,1.9585134034609248,0.32628078987865033,4,5
5,19,0.32188758248682003,1.427967307411561,2.5343012422003746,0.830837271545973,4,5
5,20,0.32188758248682003,1.993986069108809,3.4767929465020404,0.8934718032315542,5,5
5,21,0.32188758248682003,0.98670375737586,1.5707859276759262,0.4289172610747775,4,4
5,22,0.32188758248682003,2.639601156531228,6.328655234180693,0.8342247012519991,5,5
5,23,0.32188758248682003,2.110106466206359,3.511739839970284,0.6666955439231067,5,5
5,24,0.32188758248682003,2.073193929876995,3.7619104309355356,0.777425146077352,5,5
5,25,0.32188758248682003,0.40380982308357943,0.44733607033374356,0.14966601684406242,4,5
5,26,0.32188758248682003,1.369352646869792,2.383174073094064,0.5366217783576173,4,4
5,27,0.32188758248682003,2.582913323920964,5.085160488866082,0.8411322802367219,5,5
5,28,0.32188758248682003,2.3402602737109364,2.869959984189336,0.9622332550530592,4,5
5,29,0.32188758248682003,1.3928908411091856,2.1869041854341478,0.47469706818159435,5,5
10,0,0.23025850929940458,3.2558043558947887,6.699870295499531,0.8583904571937678,10,10
10,1,0.23025850929940458,3.912063823347667,7.851759277073284,0.884198844258444,9,9
10,2,0.23025850929940458,3.2449164169545264,6.401429917059636,0.6187946773749426,9,10
10,3,0.23025850929940458,3.207664976070341,9.515440359648213,0.5825978931026409,10,10
10,4,0.23025850929940458,3.2653305369034062,6.115596577651365,0.9352655674345538,9,10
10,5,0.23025850929940458,2.6905761195876736,6.65940387273097,0.6718625225792679,9,9
10,6,0.23025850929940458,3.3811642038700462,5.509139555013595,0.8927068849998046,10,10
10,7,0.23025850929940458,3.4874402255968384,6.027968135977304,0.751102418301745,9,9
10,8,0.23025850929940458,3.8678981627847366,6.437888775947314,0.6316996002621845,9,9
10,9,0.23025850929940458,3.7441512650157325,8.780139605790636,0.8592210688897746,10,10
10,10,0.23025850929940458,4.436917045301154,8.952251581384026,0.9299793347766782,8,10
10,11,0.23025850929940458,3.1541189190391363,5.838061950562455,0.7529529562841962,10,10
10,12,0.23025850929940458,2.048144899304022,3.8965735608273198,0.5689675459771251,9,9
10,13,0.23025850929940458,2.2880507364825338,5.179447013091437,0.5491850579030085,10,10
10,14,0.23025850929940458,3.869682205535017,9.129200468773895,1.2111763501340727,10,10
10,15,0.23025850929940458,4.19409810895815,8.873529661052972,1.062984157974569,9,10
10,16,0.23025850929940458,3.213376328421756,5.906307298814141,0.974748160714683,10,10
10,17,0.23025850929940458,3.146673717809951,13.495185770008462,0.5552278554704192,9,9
10,18,0.23025850929940458,4.9236663441474455,13.158777632161438,0.955541709518199,10,10
10,19,0.23025850929940458,3.691981982867106,6.391233908976319,1.0814137800826407,9,10
10,20,0.23025850929940458,3.6002315620457748,4.949696772410206,0.616774353750531,10,10
10,21,0.23025850929940458,4.115678072064676,8.315934544088964,0.8061543523848236,10,10
10,22,0.23025850929940458,3.473573751086213,7.635537092580423,1.1119757853337868,8,9
10,23,0.23025850929940458,4.205266799507105,8.445207002672914,0.7243285140648512,10,10
10,24,0.23025850929940458,4.517234544798748,13.254052836691908,1.0525274239479778,10,10
10,25,0.23025850929940458,3.7009535219393492,6.294483857991986,1.2854678645145694,9,10
10,26,0.23025850929940458,4.078454968852891,7.981825693133897,0.8133421646905352,10,10
10,27,0.23025850929940458,4.62160411954977,8.883122366681537,0.8592590907501156,9,9
10,28,0.23025850929940458,3.634749299436541,7.770502163930692,0.7079285356459193,9,10
10,29,0.23025850929940458,2.9843931755380013,7.005479770261303,1.0041726356773788,8,10
20,0,0.14978661367769955,8.118022040984222,16.58565248635627,0.8972640343479134,18,20
20,1,0.14978661367769955,8.302414458938417,17.440107621804884,1.0889794258894878,19,19
20,2,0.14978661367769955,7.406360671796412,13.588624659341178,1.0050221377546975,19,20
20,3,0.14978661367769955,5.703358566900196,11.271051546012034,1.0141324334615365,17,18
20,4,0.14978661367769955,7.155453883500443,16.216357446354944,1.0521359422657375,17,19
20,5,0.14978661367769955,6.203341689802591,11.593105673563485,0.7812742355626058,20,20
20,6,0.14978661367769955,7.736646392772602,13.216744375705371,1.2123351657830235,20,20
20,7,0.14978661367769955,8.065856733943733,14.284511824982044,1.1261134379981983,19,20
20,8,0.14978661367769955,8.765780292712835,19.36276790613597,1.215153928859524,19,19
20,9,0.14978661367769955,7.726387833168459,12.268847712880783,0.8133158332567211,19,19
20,10,0.14978661367769955,8.70073206571818,16.421272207153415,1.2750953095563273,18,19
20,11,0.14978661367769955,8.068673593750264,14.536742175583134,1.4157299774099172,19,20
20,12,0.14978661367769955,7.274842604762029,12.26066187229881,0.7887649158339665,20,20
20,13,0.14978661367769955,7.8561767749975235,15.691662065841081,1.5004942582445693,19,19
20,14,0.14978661367769955,8.220485381959474,18.152616358142772,0.9801820834360516,16,17
20,15,0.14978661367769955,7.122321084226997,14.890639109659821,1.0205343794634514,18,20
20,16,0.14978661367769955,7.3626601157069285,13.911445005920688,1.0447494213346915,19,20
20,17,0.14978661367769955,8.762955121169437,12.501588121857601,1.1209993591910374,20,20
20,18,0.14978661367769955,7.26328323590598,18.050807126981518,0.8571003458438826,17,19
20,19,0.14978661367769955,8.38038315224261,14.087116612502957,1.1255182777398225,20,20
20,20,0.14978661367769955,7.5009720133711575,11.289898575592783,0.8566889911224571,19,19
20,21,0.14978661367769955,6.5950389424257265,12.071195160203926,0.8353692828797135,19,19
20,22,0.14978661367769955,7.53115263903914,11.587637559417683,1.0579465395519858,19,19
20,23,0.14978661367769955,7.181061043248102,14.43091012771114,1.0678977970118537,18,19
20,24,0.14978661367769955,7.986234622133774,16.821328182847992,1.1285182630431727,18,20
20,25,0.14978661367769955,8.06682754850022,12.957282156168825,1.0994512899144628,18,19
20,26,0.14978661367769955,7.2280755667650585,14.510296406114238,1.2623737057634512,18,19
20,27,0.14978661367769955,5.525089299174866,14.207032217933396,0.9743210729867099,16,17
20,28,0.14978661367769955,4.8710581433345945,9.693528538186422,1.2741065404712915,17,19
20,29,0.14978661367769955,5.357285150387831,9.430481322850033,0.7086242274019537,18,19
30,0,0.11337324605540518,14.075770939076966,30.322189987923135,1.8511386005613155,27,29
30,1,0.11337324605540518,13.528832731477053,26.717479026814487,1.065292312109572,27,29
30,2,0.11337324605540518,8.992589569217701,20.799659871658676,1.0650545395494257,27,29
30,3,0.11337324605540518,10.99249467273512,23.12834663251896,0.9385520257679546,28,30
30,4,0.11337324605540518,13.015724982241139,21.471177269400453,1.0658293132130632,29,30
